f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
Evaluation Reward at Epoch 20. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 21. Obs: -0.989, Exp: -0.2
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 22. Obs: -0.992, Exp: -0.3
Evaluation Reward at Epoch 23. Obs: -0.992, Exp: -0.2
Evaluation Reward at Epoch 24. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 25. Obs: -0.989, Exp: -0.8
Evaluation Reward at Epoch 26. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 27. Obs: -0.986, Exp: -0.4
Evaluation Reward at Epoch 28. Obs: -0.992, Exp: -0.4
Evaluation Reward at Epoch 29. Obs: -0.992, Exp: -8.7
Evaluation Reward at Epoch 30. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 31. Obs: -0.992, Exp: -9.0
Test Mazes results: [1, 0, 0]
Evaluation Reward at Epoch 32. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 33. Obs: -0.992, Exp: -8.7
Evaluation Reward at Epoch 34. Obs: -0.992, Exp: -0.2
Evaluation Reward at Epoch 35. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 36. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 37. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 38. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 39. Obs: -0.989, Exp: -0.4
Evaluation Reward at Epoch 40. Obs: -0.989, Exp: -0.3
Evaluation Reward at Epoch 41. Obs: -0.992, Exp: -8.9
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 42. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 43. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 44. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 45. Obs: -0.989, Exp: -8.8
Evaluation Reward at Epoch 46. Obs: -0.992, Exp: -0.1
Evaluation Reward at Epoch 47. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 48. Obs: -0.992, Exp: -9.0
Evaluation Reward at Epoch 49. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 50. Obs: -0.989, Exp: -0.1
Evaluation Reward at Epoch 51. Obs: -0.989, Exp: -0.5
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 52. Obs: -0.992, Exp: -0.1
Evaluation Reward at Epoch 53. Obs: -0.992, Exp: -0.2
Evaluation Reward at Epoch 54. Obs: -0.992, Exp: -8.9
Evaluation Reward at Epoch 55. Obs: -0.992, Exp: -8.8
Evaluation Reward at Epoch 56. Obs: -0.989, Exp: -8.9
