f:\Desktop\University\Exeter\ECMM451 Final Year Project\Final_Year_Project\maze_env\envs\mazelib.py:32: DeprecationWarning: Seeding based on hashing is deprecated
since Python 3.9 and will be removed in a subsequent version. The only
supported seed types are: None, int, float, str, bytes, and bytearray.
  random.seed(seed)
Evaluation Reward at Epoch 170. Obs: -0.988, Exp: -8.867
Evaluation Reward at Epoch 171. Obs: -0.987, Exp: -8.8
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 172. Obs: -0.988, Exp: -8.867
Evaluation Reward at Epoch 173. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 174. Obs: -0.987, Exp: -8.733
Evaluation Reward at Epoch 175. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 176. Obs: -0.987, Exp: -8.867
Evaluation Reward at Epoch 177. Obs: -0.989, Exp: -9.167
Evaluation Reward at Epoch 178. Obs: -0.989, Exp: -8.933
Evaluation Reward at Epoch 179. Obs: -0.987, Exp: -8.8
Evaluation Reward at Epoch 180. Obs: -0.988, Exp: -8.9
Evaluation Reward at Epoch 181. Obs: -0.989, Exp: -8.833
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 182. Obs: -0.988, Exp: -8.867
Evaluation Reward at Epoch 183. Obs: -0.987, Exp: -8.833
Evaluation Reward at Epoch 184. Obs: -0.989, Exp: -9.133
Evaluation Reward at Epoch 185. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 186. Obs: -0.989, Exp: -9.0
Evaluation Reward at Epoch 187. Obs: -0.988, Exp: -8.933
Evaluation Reward at Epoch 188. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 189. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 190. Obs: -0.988, Exp: -9.1
Evaluation Reward at Epoch 191. Obs: -0.988, Exp: -8.933
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 192. Obs: -0.988, Exp: -8.933
Evaluation Reward at Epoch 193. Obs: -0.987, Exp: -8.867
Evaluation Reward at Epoch 194. Obs: -0.989, Exp: -9.1
Evaluation Reward at Epoch 195. Obs: -0.988, Exp: -8.9
Evaluation Reward at Epoch 196. Obs: -0.988, Exp: -8.9
Evaluation Reward at Epoch 197. Obs: -0.987, Exp: -8.9
Evaluation Reward at Epoch 198. Obs: -0.989, Exp: -8.867
Evaluation Reward at Epoch 199. Obs: -0.988, Exp: -8.8
Evaluation Reward at Epoch 200. Obs: -0.989, Exp: -8.9
Evaluation Reward at Epoch 201. Obs: -0.986, Exp: -8.967
Test Mazes results: [0, 0, 0]
Evaluation Reward at Epoch 202. Obs: -0.988, Exp: -8.867
Evaluation Reward at Epoch 203. Obs: -0.988, Exp: -8.867
Evaluation Reward at Epoch 204. Obs: -0.989, Exp: -8.8
Evaluation Reward at Epoch 205. Obs: -0.989, Exp: -9.067
Evaluation Reward at Epoch 206. Obs: -0.988, Exp: -8.9
Evaluation Reward at Epoch 207. Obs: -0.987, Exp: -8.9
Evaluation Reward at Epoch 208. Obs: -0.987, Exp: -8.8
Evaluation Reward at Epoch 209. Obs: -0.988, Exp: -8.933
Evaluation Reward at Epoch 210. Obs: -0.989, Exp: -8.933
Evaluation Reward at Epoch 211. Obs: -0.987, Exp: -8.867
Test Mazes results: [0, 0, 0]
{"CNN": "type", "F": "module", "MazeEnv_v0": "module", "Net": "type", "PettingZooEnv": "ABCMeta", "PettingZooEnv_new": "ABCMeta", "SummaryWriter": "type", "action_shape": "int", "agent0_eps": "DQNPolicy", "agent1_aps": "DQNPolicy", "agent_explorer": "DQNPolicy", "agent_observer": "DQNPolicy", "agent_policies": "list", "agents": "list", "batch_size": "int", "buffer_size": "int", "env": "PettingZooEnv_new", "env_human": "DummyVectorEnv", "ep_per_collect": "int", "epoch": "int", "epochs": "int", "eps_decay": "float", "eps_min": "float", "eps_prev": "float64", "eps_test": "float", "eps_train": "float64", "gamma": "float", "gym": "module", "high_eps_run": "bool", "human_collector": "Collector", "interleave_training": "function", "log_data": "dict", "lr": "float", "maze": "int", "maze_width": "int", "mazes": "int", "n_mazes": "int", "n_step": "int", "net_exp": "Net", "net_obs": "CNN", "nn": "module", "np": "module", "obs_train": "bool", "optim_exp": "Adam", "optim_obs": "Adam", "passed_mazes": "bool", "policy": "MultiAgentPolicyManager", "preprocess_maze_env": "function", "result": "dict", "results": "dict", "run": "Run", "seed": "int", "set_eps": "function", "state_shape": "tuple", "step_per_collect": "int", "step_per_epoch": "int", "steps_n": "int", "steps_total": "int", "supersuit": "module", "target_update_freq": "int", "test_collector": "Collector", "test_envs": "DummyVectorEnv", "test_mazes": "list", "test_num": "int", "test_result": "dict", "threshold_rew": "float", "torch": "module", "total_mazes": "int", "train_collector": "Collector", "train_envs": "DummyVectorEnv", "train_num": "int", "ts": "module", "wandb": "module"}
